Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Unstoppable Ogre,R,C,141094,7.34,18243,10.33,39036,54.7%,8682,53.2%,12658,53.9%,21340,53.6%,20342,55.6%,-2.0pp
Moonsnare Prototype,U,C,144905,8.05,19158,11.27,17331,52.7%,3304,49.9%,6314,55.5%,9618,53.6%,8516,52.2%,1.4pp
Acquisition Octopus,U,U,33161,3.51,7186,4.43,30015,53.1%,5608,52.4%,10514,54.1%,16122,53.5%,15240,52.7%,0.8pp
Eiganjo Exemplar,W,C,117368,5.19,16551,7.37,47184,53.4%,12215,54.0%,18394,52.9%,30609,53.4%,22487,53.5%,-0.2pp
Imperial Recovery Unit,W,U,37710,4.10,5239,5.69,17054,53.5%,3028,52.8%,5058,53.7%,8086,53.4%,9402,53.7%,-0.3pp
Walking Skyscraper,,U,43741,4.58,6461,6.45,19377,52.7%,3142,49.3%,6063,55.4%,9205,53.3%,10684,52.3%,1.0pp
Reckoner's Bargain,B,C,143580,7.74,17377,11.25,20155,54.5%,3441,50.1%,5820,55.1%,9261,53.3%,11257,55.3%,-2.0pp
When We Were Young,W,U,56728,6.70,5863,10.28,5183,52.6%,819,49.2%,1524,55.4%,2343,53.3%,2886,52.2%,1.1pp
Planar Incision,U,C,146584,8.32,16699,12.00,10613,52.3%,1852,50.6%,3512,54.7%,5364,53.3%,5464,51.3%,2.0pp
Unforgiving One,B,U,45866,5.04,6142,7.41,14973,54.2%,2831,51.7%,5037,54.0%,7868,53.2%,8138,54.8%,-1.5pp
Mobilizer Mech,U,U,42274,4.79,5062,6.92,10375,50.6%,2133,50.9%,3778,54.4%,5911,53.1%,5199,48.5%,4.6pp
Explosive Singularity,R,M,3573,2.40,1455,2.47,5760,53.0%,866,51.4%,1496,54.1%,2362,53.1%,3404,53.0%,0.1pp
Wind-Scarred Crag,WR,B,51496,6.99,7769,9.87,19952,53.4%,3878,54.7%,5256,52.0%,9134,53.1%,11037,53.8%,-0.6pp
Chainflail Centipede,B,C,132734,6.16,17790,9.00,46745,54.4%,9312,52.5%,15532,53.2%,24844,52.9%,24725,55.4%,-2.5pp
The Dragon-Kami Reborn,G,R,11118,3.70,1886,4.81,3542,52.1%,647,49.3%,1139,55.0%,1786,52.9%,1946,51.7%,1.2pp
Explosive Entry,R,C,142743,7.75,15563,11.28,17259,52.7%,3002,53.1%,4579,52.7%,7581,52.8%,9910,52.6%,0.3pp
Kami of Industry,R,C,146257,8.28,17897,11.65,18785,53.5%,3410,51.3%,5904,53.6%,9314,52.8%,10251,54.0%,-1.2pp
Storyweave,G,U,52854,6.17,6253,9.29,9536,53.1%,1665,50.2%,2671,54.4%,4336,52.8%,5329,53.3%,-0.5pp
Undercity Scrounger,B,C,133418,6.35,21275,8.89,53531,54.1%,11343,52.1%,19861,53.2%,31204,52.8%,27256,55.2%,-2.5pp
Coiling Stalker,G,C,128638,6.14,17497,8.90,42002,53.8%,9503,53.4%,14743,52.3%,24246,52.7%,21571,54.7%,-2.1pp
Futurist Operative,U,U,50784,5.83,6080,8.63,10462,52.2%,1844,50.2%,4295,53.7%,6139,52.7%,5405,51.6%,1.0pp
Upriser Renegade,R,U,48542,5.55,6338,7.87,15928,53.8%,3447,54.2%,4800,51.5%,8247,52.6%,8740,54.4%,-1.8pp
Lucky Offering,W,C,145402,8.22,13201,12.35,4002,51.5%,693,50.9%,1123,53.6%,1816,52.6%,2230,50.4%,2.1pp
Akki Ember-Keeper,R,C,139597,7.30,17315,10.30,30122,53.9%,7322,53.4%,10108,51.9%,17430,52.5%,15453,55.1%,-2.6pp
Scrapyard Steelbreaker,R,C,139808,7.30,20200,10.06,43158,53.6%,8849,51.9%,15026,52.8%,23875,52.5%,22528,54.5%,-2.0pp
Seven-Tail Mentor,W,C,129654,6.03,13090,9.17,27564,52.3%,5447,52.0%,9127,52.7%,14574,52.4%,14572,52.1%,0.3pp
Tempered in Solitude,R,U,48053,5.51,7370,7.56,18547,53.4%,3451,52.8%,4911,52.2%,8362,52.4%,10514,54.3%,-1.9pp
Orochi Merge-Keeper,G,U,41101,4.34,7897,5.71,29866,53.7%,5971,53.4%,9173,51.7%,15144,52.4%,16260,54.7%,-2.3pp
Runaway Trash-Bot,,U,45627,4.55,7878,6.39,29097,53.4%,5658,49.2%,10149,54.1%,15807,52.4%,15146,54.2%,-1.8pp
Okiba Salvage,B,U,52263,6.01,6395,9.05,9736,53.0%,1552,47.0%,3065,54.8%,4617,52.2%,5258,53.8%,-1.6pp
"Heiko Yamazaki, the General",R,U,35833,3.87,6742,5.01,26977,52.9%,4801,50.2%,7770,53.3%,12571,52.1%,15225,53.3%,-1.2pp
Dragonfly Suit,W,C,133970,6.62,12926,10.07,20672,52.2%,3975,50.6%,6963,52.9%,10938,52.1%,10888,52.4%,-0.3pp
"Satsuki, the Living Lore",WG,R,9815,3.18,2267,3.73,6831,53.1%,1228,49.7%,2012,53.4%,3240,52.0%,3788,53.7%,-1.7pp
Light the Way,W,C,146093,8.03,14081,11.99,8679,52.6%,1425,50.0%,2522,53.1%,3947,52.0%,4836,53.0%,-1.1pp
Spirit-Sister's Call,WB,M,4019,2.68,1225,2.91,3605,51.8%,571,48.2%,1091,53.9%,1662,51.9%,1970,51.5%,0.4pp
The Shattered States Era,R,C,156811,7.90,15584,11.68,11154,52.5%,1780,50.0%,3111,52.9%,4891,51.8%,6476,53.1%,-1.3pp
Peerless Samurai,R,C,136729,7.05,14907,10.30,26460,52.5%,5980,52.5%,8982,51.3%,14962,51.8%,13792,52.9%,-1.1pp
Asari Captain,WR,U,45883,5.33,5692,7.70,12753,51.8%,2582,51.0%,4188,52.1%,6770,51.7%,6677,51.9%,-0.2pp
Go-Shintai of Ancient Wars,R,U,37182,4.01,7381,5.23,25097,52.5%,4605,50.8%,7691,52.2%,12296,51.7%,13826,53.0%,-1.3pp
Guardians of Oboro,U,C,146764,8.28,17056,11.87,12385,52.1%,2657,49.3%,4825,53.0%,7482,51.7%,5917,52.0%,-0.3pp
Kitsune Ace,W,C,136307,6.99,13490,10.48,16716,51.7%,4004,51.5%,6251,51.8%,10255,51.7%,8262,51.9%,-0.2pp
Crackling Emergence,R,C,145553,8.63,14416,12.55,5783,52.6%,1279,50.7%,1625,51.9%,2904,51.4%,3108,53.5%,-2.1pp
Akki Ronin,R,C,144068,8.00,16015,11.46,19602,52.4%,4386,53.1%,6132,49.9%,10518,51.3%,10536,53.1%,-1.8pp
Automated Artificer,,C,143911,7.55,16125,10.96,20929,51.8%,4413,49.7%,7514,52.1%,11927,51.2%,10622,52.4%,-1.2pp
Imperial Subduer,W,C,129343,6.17,14038,9.10,29113,52.0%,6972,50.2%,10748,51.7%,17720,51.1%,14325,52.4%,-1.3pp
Malicious Malfunction,B,U,48349,5.49,5712,8.20,8106,51.7%,1532,49.0%,2494,52.2%,4026,51.0%,4238,52.3%,-1.3pp
Ancestral Katana,W,C,136911,6.95,14448,10.19,22034,51.8%,4485,51.1%,6509,50.3%,10994,50.6%,11798,52.4%,-1.7pp
